ﾘﾘｰｽ内容,ﾘﾘｰｽ詳細,重要度,実装ﾊﾞｰｼﾞｮﾝ,実装予定ﾊﾞｰｼﾞｮﾝ,実装日,開発状況,不具合状況,備考,ﾘﾘｰｽﾞ済み
ｱｲﾃﾑﾌｨﾙﾀ,ﾘﾝｸﾗのｱｲﾃﾑの獲得状況のﾌｨﾙﾀの実装,3,開発中,1.0.0,2024/8/19,現時点で、一部のﾌｨﾙﾀが作動しない不具合を確認したため、修正を行っております,-,-,1
CSSｼｽﾃﾑ見直し,ｻｲﾄ内の統一CSSの重複削除と不要ｺｰﾄﾞの削除､新規ｺｰﾄﾞの追加,2,修正中,1.0.1,2024/9/8,現在、CSSの修正を行っております。適宜お知らせいたします,-,-,1
ﾘﾝｸﾗｶﾚﾝﾀﾞｰ,ﾘﾝｸﾗ及び蓮ノ空関連のｶﾚﾝﾀﾞｰの実装,3,開発中,1.0.2,2024/9/17,現在、ﾃﾞｻﾞｲﾝの検討を行っております。詳しくは近日中にｻｲﾄ内お知らせで通知いたします,-,-,1
ﾘﾝｸﾗ1.5周年記念特別ｴﾌｪｸﾄ,ﾘﾝｸﾗの1.5周年記念のｻｲﾄ内ｴﾌｪｸﾄを追加,1,準備中,未定,未定,全てのﾍﾟｰｼﾞに対しﾊﾟｰﾃｨｸﾙを実装する予定です,-,-,1
ｽｸｺﾈﾌｨﾙﾀ,公式YouTubeにｱｯﾌﾟﾛｰﾄﾞされたWith×MEETS配信の動画を見やすく調整したﾍﾟｰｼﾞの実装,2,準備中,未定,未定,現在内容を検討しています,-,-,1
せーはすﾌｨﾙﾀ,公式YouTubeにｱｯﾌﾟﾛｰﾄﾞされたせーはすの動画を見やすく調整したﾍﾟｰｼﾞの実装,2,準備中,未定,未定,現在内容を検討しています,-,-,1
楽曲ﾌｨﾙﾀ,ﾘﾝｸﾗに実装された楽曲のﾌｨﾙﾀ及び遷移機能付きﾍﾟｰｼﾞの実装,3,準備中,未定,未定,現在内容を検討していますが、ﾘﾝｸﾗ内の楽曲ﾃﾞｰﾀも追加予定です,-,-,1
